tau,seed,variant,dQED,dSA,dScaffold,dSeconds_rank
0.8,0,MMR on (α=0.5),-0.02116027577968771,0.28192404503013746,0.09999999999999998,0.49853515625
0.8,0,Weight wQED=0.7,-0.006844667191594156,-0.09310000168640253,-0.020000000000000018,-0.002455472946166992
0.8,0,Weight wQED=0.9,0.0030368437319668873,0.09595038772957754,0.010000000000000009,-0.002595186233520508
0.8,0,Scaler z-score,0.0,0.0,0.0,-0.0029425621032714844
0.8,0,Scaler quantile,0.0030368437319668873,0.09595038772957754,0.010000000000000009,-0.0035638809204101562
1.0,0,MMR on (α=0.5),-0.018093100076991386,0.29244365229261415,0.06999999999999995,0.49882078170776367
1.0,0,Weight wQED=0.7,-0.0052144316644804345,-0.08849112629465372,-0.020000000000000018,0.00016760826110839844
1.0,0,Weight wQED=0.9,0.0032041705744337845,0.10395314302797543,0.030000000000000027,0.05679750442504883
1.0,0,Scaler z-score,0.0,0.0,0.0,0.0027446746826171875
1.0,0,Scaler quantile,0.0025200817861971148,0.07268288292404401,0.020000000000000018,0.002589702606201172
1.2,0,MMR on (α=0.5),-0.010964471791591768,0.29790686826579593,0.07999999999999996,0.4943702220916748
1.2,0,Weight wQED=0.7,-0.004971351766963172,-0.10600865782175406,-0.030000000000000027,5.53131103515625e-05
1.2,0,Weight wQED=0.9,0.003857547897164082,0.15222198517377183,0.020000000000000018,-0.0006585121154785156
1.2,0,Scaler z-score,0.0,0.0,0.0,-0.0005900859832763672
1.2,0,Scaler quantile,0.0025701683020299404,0.08280097039940726,0.010000000000000009,-0.0005075931549072266
